Primary Industry,Sub-Industry,Description (for AI context)
"Agriculture & Agribusiness","Crop Farming","Growing grains, fruit, vegetables, or other produce for sale"
"Agriculture & Agribusiness","Livestock & Dairy","Farming cattle, poultry, sheep, or other animals for meat/dairy"
"Agriculture & Agribusiness","Agri-Processing","Processing or packaging raw agricultural products"
"Agriculture & Agribusiness","Forestry & Timber","Growing, harvesting, or processing timber and wood products"
"Agriculture & Agribusiness","Agri-Inputs & Equipment","Supplying seed, fertiliser, feed, or farming equipment"
"Mining & Extraction","Coal & Minerals","Extraction of coal, iron ore, or other minerals"
"Mining & Extraction","Precious Metals & Gems","Mining or trading gold, platinum, diamonds"
"Mining & Extraction","Quarrying & Aggregates","Sand, stone, and construction aggregate extraction"
"Mining & Extraction","Mining Services & Equipment","Contractors and suppliers servicing mines"
"Mining & Extraction","Oil & Gas","Exploration, extraction, or distribution of oil and gas"
"Manufacturing","Food & Beverage Production","Manufacturing packaged food or drink products"
"Manufacturing","Textiles & Apparel Manufacturing","Producing clothing, fabric, or footwear"
"Manufacturing","Furniture & Woodworking","Manufacturing furniture or wood-based products"
"Manufacturing","Chemicals & Plastics","Producing industrial or consumer chemicals and plastics"
"Manufacturing","Metal & Machinery Fabrication","Fabricating metal products, tools, or machinery"
"Construction & Real Estate","Residential Construction","Building or renovating homes"
"Construction & Real Estate","Commercial & Industrial Construction","Building offices, warehouses, or factories"
"Construction & Real Estate","Civil Engineering & Infrastructure","Roads, bridges, and public infrastructure projects"
"Construction & Real Estate","Property Development","Developing land or buildings for sale/lease"
"Construction & Real Estate","Real Estate & Property Management","Buying, selling, letting, or managing property"
"Retail & E-commerce","Clothing & Apparel Retail","Selling clothing, shoes, or accessories"
"Retail & E-commerce","Electronics & Appliances Retail","Selling consumer electronics or appliances"
"Retail & E-commerce","Home & Furniture Retail","Selling homeware, furniture, or decor"
"Retail & E-commerce","Online Store / E-commerce","Selling products primarily through an online store"
"Retail & E-commerce","General & Convenience Retail","Spaza shops, general dealers, and convenience stores"
"Wholesale & Distribution","FMCG Wholesale","Bulk supply of fast-moving consumer goods"
"Wholesale & Distribution","Industrial Supplies Distribution","Distributing industrial or trade supplies"
"Wholesale & Distribution","Import & Export Trading","Cross-border trading of goods"
"Wholesale & Distribution","Building Materials Supply","Wholesale supply of construction materials"
"Wholesale & Distribution","Agricultural Produce Wholesale","Bulk trading of farm produce"
"Hospitality & Tourism","Hotels & Accommodation","Running hotels, guesthouses, or B&Bs"
"Hospitality & Tourism","Restaurants & Catering","Restaurants, cafes, or catering services"
"Hospitality & Tourism","Travel Agencies & Tour Operators","Booking travel or running guided tours"
"Hospitality & Tourism","Event Venues & Planning","Venues and planning for weddings, conferences, events"
"Hospitality & Tourism","Game Lodges & Eco-Tourism","Safari lodges and nature-based tourism"
"Food & Beverage","Bakery & Confectionery","Producing baked goods, cakes, or sweets"
"Food & Beverage","Craft Beverages","Producing craft beer, wine, or spirits"
"Food & Beverage","Butchery & Meat Processing","Processing and selling meat products"
"Food & Beverage","Coffee & Specialty Food","Roasting coffee or producing specialty/artisan food"
"Food & Beverage","Food Delivery & Takeaway","Delivering or preparing takeaway meals"
"Transport & Logistics","Freight & Trucking","Moving goods by road freight"
"Transport & Logistics","Courier & Last-Mile Delivery","Parcel and last-mile delivery services"
"Transport & Logistics","Warehousing & Supply Chain","Storage and supply chain management"
"Transport & Logistics","Passenger Transport","Taxis, shuttles, or bus services"
"Transport & Logistics","Freight Forwarding & Customs","Clearing agents and international freight"
"Financial Services","Banking & Lending","Banks, microlenders, or credit providers"
"Financial Services","Insurance","Underwriting or brokering insurance products"
"Financial Services","Investment & Asset Management","Managing investments or portfolios"
"Financial Services","Accounting & Bookkeeping","Bookkeeping, tax, and accounting services"
"Financial Services","Fintech & Payments","Digital payments or financial technology products"
"Professional Services","Legal Services","Attorneys, conveyancers, and legal advisors"
"Professional Services","Management & Business Consulting","Strategy, operations, or business consulting"
"Professional Services","HR & Recruitment","Staffing, recruitment, and HR consulting"
"Professional Services","Architecture & Engineering","Architectural design and engineering services"
"Professional Services","Auditing & Compliance","Audit, risk, and regulatory compliance services"
"Healthcare & Medical","General & Family Practice","GP practices and family medicine"
"Healthcare & Medical","Dental & Oral Care","Dentists and oral health services"
"Healthcare & Medical","Specialist Medical Practice","Specialist doctors and clinics"
"Healthcare & Medical","Pharmacies","Retail and dispensing pharmacies"
"Healthcare & Medical","Allied Health & Therapy","Physio, psychology, and allied health services"
"Education & Training","Early Childhood Development","Preschools and daycare centres"
"Education & Training","Primary & Secondary Schools","K-12 schools, private or public"
"Education & Training","Tertiary & Higher Education","Colleges, universities, or higher-ed institutions"
"Education & Training","Vocational & Skills Training","Trade schools and skills training providers"
"Education & Training","Tutoring & E-learning","Private tutoring or online learning platforms"
"Information Technology & Software","Software Development","Building custom software or apps"
"Information Technology & Software","IT Support & Managed Services","IT support, helpdesk, or managed services"
"Information Technology & Software","SaaS & Tech Products","Selling software-as-a-service products"
"Information Technology & Software","Cybersecurity","Security consulting or products"
"Information Technology & Software","Data & AI Services","Data analytics or AI/ML consulting"
"Telecommunications","Mobile Network Services","Mobile network operators and resellers"
"Telecommunications","Internet Service Providers","Fibre and internet connectivity providers"
"Telecommunications","Telecom Equipment & Infrastructure","Supplying or installing telecom hardware"
"Telecommunications","VoIP & Business Communications","Business phone and communication systems"
"Telecommunications","Satellite & Broadcast Services","Satellite or broadcast communication services"
"Marketing & Advertising","Digital Marketing & Advertising","Marketing agencies and paid advertising services"
"Marketing & Advertising","PR & Communications","Public relations and communications firms"
"Marketing & Advertising","Marketing Strategy & Consulting","Marketing strategy and brand consulting services"
"Marketing & Advertising","Social Media Management","Managing social media accounts and campaigns"
"Marketing & Advertising","Market Research","Conducting market research and consumer insights"
"Media & Creative Services","Graphic & Web Design","Design studios and freelance designers"
"Media & Creative Services","Photography & Videography","Photography or video production services"
"Media & Creative Services","Publishing & Content","Publishing, journalism, or content production"
"Media & Creative Services","Animation & Motion Graphics","Animation, motion graphics, and visual effects"
"Media & Creative Services","Copywriting & Editorial","Copywriting, editing, and editorial services"
"Energy & Utilities","Solar & Renewable Energy","Installing or supplying solar/renewable energy systems"
"Energy & Utilities","Electrical Contracting","Electrical installation and contracting services"
"Energy & Utilities","Water & Waste Management","Water treatment or waste management services"
"Energy & Utilities","Backup Power Solutions","Generators, inverters, and backup power systems"
"Energy & Utilities","Utility Services","Electricity, gas, or water utility providers"
"Automotive","New & Used Vehicle Sales","Dealerships selling new or used vehicles"
"Automotive","Vehicle Repair & Servicing","Mechanics, panel beaters, and service centres"
"Automotive","Auto Parts & Accessories","Selling vehicle parts or accessories"
"Automotive","Car Rental & Fleet Services","Vehicle rental or fleet management"
"Automotive","Vehicle Financing & Insurance","Auto finance or vehicle insurance brokers"
"Beauty & Personal Care","Hair & Beauty Salons","Hairdressers, nail bars, and beauty salons"
"Beauty & Personal Care","Barbershops","Barbering and men's grooming services"
"Beauty & Personal Care","Cosmetics & Personal Care Products","Selling cosmetics or personal care products"
"Beauty & Personal Care","Makeup & Aesthetics Services","Makeup artistry and aesthetic treatments"
"Beauty & Personal Care","Tattoo & Piercing Studios","Tattoo and piercing services"
"Health & Fitness","Spa & Skincare","Spas, aesthetics, and skincare clinics"
